id,symptoms,condition_label,medicine_name,medicine_type,dosage,precautions
859,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
860,"dull ache, throbbing pain, temple pressure",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
861,"dry mouth, dizziness",dehydration,Electral,solution,200ml as needed,Store in cool place
862,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
863,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
864,"red patches, rashes, itching",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
865,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
866,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
867,"dryness, red eyes",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
868,"dizziness, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
869,"dry mouth, dizziness, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
870,"gas, discomfort, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
871,"tingling, red patches",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
872,"difficulty eating, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
873,"tingling, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
874,"throat irritation, dry cough",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
875,"tingling, red patches",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
876,"muscle aches, fatigue",body_pain,Dolo 650,tablet,1 tab 3x/day,Do not overdose
877,"infrequent stool, straining",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
878,"dry mouth, dizziness",dehydration,Electral,solution,200ml as needed,Store in cool place
879,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
880,"body ache, chills, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
881,"tingling, red patches, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
882,"body ache, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
883,"throbbing pain, dull ache",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
884,"gas, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
885,"painful sores, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
886,"red patches, itching, rashes",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
887,"tickling sensation, dry cough",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
888,"tickling sensation, throat irritation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
889,"mucus, chesty cough",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
890,"nausea, dizziness",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
891,"itchy eyes, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
892,"chesty cough, mucus",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
893,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
894,"itchy eyes, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
895,"dry mouth, dizziness, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
896,"dull ache, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
897,"chills, body ache, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
898,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
899,"sensitivity, gum swelling",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
900,"discomfort, bloating, gas",indigestion,Digene,tablet,2 tabs after meals,Chew well
901,"gum swelling, dull tooth pain, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
902,"dizziness, fatigue, dry mouth",dehydration,Electral,solution,200ml as needed,Store in cool place
903,"runny nose, nasal congestion",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
904,"itching, red patches, rashes",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
905,"redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
906,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
907,"red patches, rashes, itching",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
908,"itching, redness, swelling",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
909,"throbbing pain, dull ache, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
910,"white patches, difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
911,"burning, redness, swelling",minor_burn,Silverex,cream,Apply thin layer,External use only
912,"runny nose, itchy eyes, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
913,"burning chest, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
914,"burning chest, sour burps, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
915,"headache, nasal congestion, facial pain",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
916,"itching, redness, swelling",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
917,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
918,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
919,"fatigue, dry mouth, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
920,"nausea, dizziness, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
921,"mild fever, runny nose",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
922,"burning, swelling, redness",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
923,"tickling sensation, throat irritation, dry cough",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
924,"muscle soreness, post workout pain, stiffness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
925,"sour burps, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
926,"fatigue, muscle aches",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
927,"gum swelling, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
928,"dizziness, dry mouth, fatigue",dehydration,Electral,solution,200ml as needed,Store in cool place
929,"throat irritation, tickling sensation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
930,"throat irritation, tickling sensation, dry cough",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
931,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
932,"burning chest, acid reflux",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
933,"redness, swelling, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
934,"sensitivity, gum swelling",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
935,"redness, swelling, burning",minor_burn,Silverex,cream,Apply thin layer,External use only
936,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
937,"queasiness, urge to vomit",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
938,"gas, discomfort",indigestion,Digene,tablet,2 tabs after meals,Chew well
939,"dull tooth pain, sensitivity, gum swelling",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
940,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
941,"swelling, itching, redness",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
942,"infrequent stool, straining",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
943,"throbbing pain, dull ache",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
944,"nasal congestion, mild fever",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
945,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
946,"itching, red patches",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
947,"swelling, burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
948,"sour burps, acid reflux",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
949,"dull tooth pain, gum swelling",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
950,"painful sores, white patches",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
951,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
952,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
953,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
954,"productive cough, mucus, chesty cough",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
955,"sneezing, runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
956,"difficulty eating, white patches, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
957,"redness, itching",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
958,"red patches, tingling",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
959,"itching, swelling",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
960,"runny nose, sneezing",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
961,"itching, redness",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
962,"chills, body ache, low-grade fever",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
963,"dizziness, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
964,"low-grade fever, body ache, chills",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
965,"tickling sensation, dry cough",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
966,"sour burps, acid reflux",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
967,"swelling, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
968,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
969,"dull tooth pain, gum swelling",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
970,"nasal congestion, sneezing, mild fever",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
971,"painful sores, difficulty eating",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
972,"dull tooth pain, sensitivity",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
973,"dull ache, throbbing pain, temple pressure",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
974,"painful sores, white patches, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
975,"swelling, redness",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
976,"redness, swelling",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
977,"throbbing pain, temple pressure, dull ache",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
978,"discomfort, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
979,"redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
980,"blurry vision, dryness",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
981,"burning chest, sour burps",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
982,"muscle soreness, post workout pain",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
983,"dry mouth, fatigue, dizziness",dehydration,Electral,solution,200ml as needed,Store in cool place
984,"headache, nasal congestion",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
985,"chesty cough, mucus",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
986,"chills, body ache, low-grade fever",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
987,"tickling sensation, dry cough",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
988,"chills, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
989,"dryness, red eyes",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
990,"dull ache, throbbing pain, temple pressure",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
991,"runny nose, sneezing",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
992,"mucus, chesty cough",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
993,"back ache, lower abdomen pain",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
994,"dizziness, nausea, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
995,"nausea, vomiting, dizziness",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
996,"muscle aches, fatigue",body_pain,Dolo 650,tablet,1 tab 3x/day,Do not overdose
997,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
998,"gas, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
999,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
1000,"bloating, discomfort",indigestion,Digene,tablet,2 tabs after meals,Chew well
